CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/16/2019,18:45,QUEENS,11413,40.65558,-73.76629,"(40.65558, -73.76629)",ROCKAWAY BOULEVARD              ,150 DRIVE,,3,0,0,0,0,0,3,0,Aggressive Driving/Road Rage,Unspecified,Unspecified,,,4133067,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
04/21/2019,10:45,BRONX,10453,40.854176,-73.91543,"(40.854176, -73.91543)",HENNESSEY PLACE                 ,WEST BURNSIDE AVENUE,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,4118874,Station Wagon/Sport Utility Vehicle,Box Truck,,,
05/01/2019,10:00,,,,,,JAMAICA AVENUE                  ,VANWYCK EXPRESSWAY,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4125676,Sedan,Sedan,,,
05/02/2019,0:00,,,,,,NEW ENGLAND THRUWAY RAMP        ,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,,,4133263,Station Wagon/Sport Utility Vehicle,,,,
05/02/2019,15:45,STATEN ISLAND,10306,40.573193,-74.11009,"(40.573193, -74.11009)",CLAWSON STREET                  ,BURBANK AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4124519,Station Wagon/Sport Utility Vehicle,,,,
05/09/2019,9:15,,,40.717014,-73.7994,"(40.717014, -73.7994)",GRAND CENTRAL PKWY              ,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4129041,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
05/16/2019,6:50,,,40.832314,-73.93161,"(40.832314, -73.93161)",SEDGWICK AVENUE                 ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4133505,Station Wagon/Sport Utility Vehicle,,,,
04/22/2019,16:00,,,,,,CYPRESS HILLS STREET            ,JAMAICA AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4119768,Sedan,Sedan,,,
05/14/2019,15:00,QUEENS,11417,40.672146,-73.84318,"(40.672146, -73.84318)",CROSS BAY BOULEVARD             ,PITKIN AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4133546,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/03/2019,14:30,,,40.73986,-73.79012,"(40.73986, -73.79012)",LONG ISLAND EXPRESSWAY          ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4125092,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
05/12/2019,16:00,,,40.866047,-73.882744,"(40.866047, -73.882744)",SOUTHERN BOULEVARD              ,,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,Unspecified,,,4130731,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
05/10/2019,7:00,,,40.76104,-73.97538,"(40.76104, -73.97538)",EAST 54 STREET                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4128882,Bus,Box Truck,,,
